Definición Intensidad	I=\frac{dq}{dt}	Principle
Ohm	\boxed{V=IR} \; ; \; (V=IZ)	Basic
Definición Potencia y Trabajo (+ deducción con Ohm de la fórmula de la potencia)	\boxed{\frac{dW}{dt}} \; \boxed{dW=Vdq}\\ \leadsto P=VI=RI^2	Principle
Primera y Segunda ley de Kirchoff	\text{Nudos: }\boxed{\sum I_i=0} \; ; \text{ Mallas: } \boxed{\sum\epsilon_i=\sum V_i} Basic
Asociación Resistencias y reparto V, I	\begin{array}{|r|r|r|}\hline  & \text{Serie} & \text{Paralelo} \\ \hline R & R=R_1+R_2... & \frac{1}{R}=\frac{1}{R_1}+\frac{1}{R_2}... \\ \hline V & V_T=V_1+V_2+... & V_T=V_1=V_2... \\ \hline I & I_T=I_1=I_2... & I_T=I_1=I_2... \\  \hline  \end{array}
Thévenin y Norton	\text{Una red de fuentes y resistencias es equivalente a la misma unida a la ``carga'' } R_L \text{ unida a una resistencia equivalente en serie } R_{eq} \text{con una fuente de \textbf{voltaje} o a la misma en paralelo con una de \textbf{corriente}. Esto es útil para estudiar parámetros de un componente individual. } \\ \small \cdot \text{La eficiencia es la relación entre la potencia suninistrada y la que recibe la carga. }\\ \small \cdot \text{\textbf{Máxima Potencia} si:} R_L=R_{th} 	Concept
Definición trabajo con potencia	\boxed{w(t)=\int_to ^t P(t)dt} \\ \small \left( \small dW=vdq=\frac{P}{I}dq=Pdt \right)
Condensador: Intensidad, Tau, Curvas	\boxed{i(t)=C\frac{dv(t)}{dt}} \; \tau=CR \\ \small \text{Cargando:} i(\infty)=0 \leftarrow \text{abierto} ; v(0)=0
Bobina: Voltaje, Tau, Curvas	\boxed{v(t)=L\frac{di(t)}{dt}} \; \tau=L/R \\ \small \text{Cargando:} v(\infty)=0 \leftarrow \text{corto} ; i(0)=0
Fórmula genérica (cond/bob) de v/i con el Tiempo	\boxed{v(t)=A+Be^{-\frac{t}{\tau}}} \; \boxed{i(t)=A+Be^{-\frac{t}{\tau}}} \\ A+B =\text{Condición inicial} \; ; \; A=\text{Solución estacionaria}\\ \small \text{Cond: salto de intensidad para suministrar.} \\ \small \text{Bobina: salto de voltaje para suministrar.}
Impedancias de Resistencia, Condensador, Bobina	\boxed{Z_R=R}\; \boxed{Z_L=jwL}\color{gray}{+r} \\ \boxed{Z_C=\frac{1}{jwC}=-\frac{j}{wC}}\color{gray}{+r}
Período con Velocidad angular	T=\frac{2\pi}{w}	Reminder
Impedancia: fórmula compleja	\boxed{Z=R+Xj} \\ \small \text{Parte real: R , Parte imaginaria: reactancia (no disipa)}	Basic
Fasores de V e I	\boxed{V=V_Oe^{j\phi_v}} \; ; \; \boxed{I=I_Oe^{j\phi_i}}
Potencia compleja general y fórmula Imaginaria	\boxed{S=VI^*}\\ S=VIe^{\phi j}=VI\left( \cos\phi +j\sin\phi \right)\\
\small \text{P. Activa [W]: } P=\text{Re}(S) \; ; \; \small\text{P. React. [var]: } Q=\text{Im}(S)